Rank Dec 2025,Rank Dec 2024,Language,Ratings,Change
1,1,Python,23.64%,-0.21%
2,4,C,10.11%,+1.01%
3,2,C++,8.95%,-1.87%
4,3,Java,8.70%,-1.02%
5,5,C#,7.26%,+2.39%
6,6,JavaScript,2.96%,-1.66%
7,9,Visual Basic,2.81%,+0.85%
8,8,SQL,2.10%,+0.11%
9,26,Perl,1.97%,+1.33%
10,16,R,1.96%,+0.91%
11,11,Delphi/Object Pascal,1.91%,+0.48%
12,10,Fortran,1.60%,-0.18%
13,15,MATLAB,1.52%,+0.43%
14,24,Ada,1.49%,+0.77%
15,7,Go,1.37%,-0.80%
16,12,PHP,1.36%,-0.03%
17,14,Rust,1.30%,+0.01%
18,13,Scratch,1.11%,-0.23%
19,17,Assembly language,1.04%,-0.01%
20,23,Kotlin,0.92%,+0.10%
21,n/a,Swift,0.87%,n/a
22,n/a,Classic Visual Basic,0.78%,n/a
23,n/a,COBOL,0.78%,n/a
24,n/a,Prolog,0.76%,n/a
25,n/a,Ruby,0.67%,n/a
26,n/a,Dart,0.64%,n/a
27,n/a,SAS,0.64%,n/a
28,n/a,Lisp,0.51%,n/a
29,n/a,Julia,0.48%,n/a
30,n/a,Objective-C,0.45%,n/a
31,n/a,Lua,0.40%,n/a
32,n/a,Haskell,0.35%,n/a
33,n/a,TypeScript,0.32%,n/a
34,n/a,Scala,0.32%,n/a
35,n/a,(Visual) FoxPro,0.31%,n/a
36,n/a,ABAP,0.29%,n/a
37,n/a,PL/SQL,0.27%,n/a
38,n/a,VBScript,0.22%,n/a
39,n/a,Elixir,0.20%,n/a
40,n/a,Ladder Logic,0.19%,n/a
41,n/a,Solidity,0.19%,n/a
42,n/a,PowerShell,0.17%,n/a
43,n/a,Zig,0.16%,n/a
44,n/a,Bash,0.16%,n/a
45,n/a,Apex,0.15%,n/a
46,n/a,LabVIEW,0.15%,n/a
47,n/a,Wolfram,0.15%,n/a
48,n/a,Erlang,0.14%,n/a
49,n/a,ML,0.14%,n/a
50,n/a,RPG,0.14%,n/a
