Language,2020,2021,2022,2023,2024,2025
Assembly,1.11,2.14,2.03,1.27,1.13,1.01
C,16.57,13.25,13.9,12.71,9.75,9.48
C#,4.82,5.04,5.5,7.25,6.4,5.45
C++,6.58,7.44,9.78,11.51,10.39,9.85
Fortran,0.32,0.94,0.6,0.97,1.59,1.74
Go,1.23,1.17,1.11,1.15,1.93,2.26
Java,15.08,11.02,11.61,10.83,9.06,9.19
JavaScript,2.36,2.43,2.4,2.8,3.5,3.46
Kotlin,0.41,0.37,0.42,0.64,0.98,0.87
MATLAB,0.97,1.06,0.9,1.07,1.27,1.13
PHP,2.18,1.98,1.58,1.64,1.34,1.3
Perl,1.04,0.99,0.73,0.63,0.66,1.38
Python,10.07,11.5,14.93,14.04,17.98,24.66
R,1.79,1.32,1.13,0.9,0.95,1.35
Rust,0.61,0.53,0.55,0.83,1.14,1.15
